Company_Name,Country,City,Founded_Year,AI_Focus,Industry,Product_or_Service,Target_Market,Business_Model,Funding_Stage,Total_Funding_USD,Latest_Funding_Date,Latest_Round,Lead_Investor,Website,LinkedIn,Funding_Source,Company_Source,Verification_Status,Research_Notes
Awarri,Nigeria,Lagos,2019,Generative AI,Enterprise Software,"Multilingual AI models, language data services, robotics and AI infrastructure","African businesses, institutions and public-sector organizations",B2B,Pre-Seed,1600000.0,2025-09-01,Pre-Seed,,https://www.awarri.com/,,https://techmoonshot.com/,https://www.awarri.com/company/about-us,Partially Verified,Company founding and AI activities are supported by the official company site. Funding amount requires additional primary-source verification.
Cybervergent,Nigeria,Lagos,,AI Automation,Cybersecurity,"AI-native digital trust, governance, compliance, risk and security platform",Organizations across Africa and other emerging markets,B2B SaaS,Seed,3000000.0,,Seed,Ventures Platform; Atlantica Ventures,https://www.cybervergent.com/,,https://resource.cybervergent.com/en/blog/cybervergent-raises-3m-seed-to-scale-ai-native-posture-management-across-africa,https://www.cybervergent.com/about-us/,Verified,Official company source confirms AI-native digital trust platform and Lagos address. March 2026 company announcement confirms $3M seed round.
Terra Industries,Nigeria,Abuja,2024,Computer Vision,Security,"Autonomous drones, surveillance systems and AI-enabled threat detection",Critical infrastructure operators and defense markets in the Global South,B2B,Seed,52000000.0,,Seed,,https://www.terraindustries.co/,,https://www.terraindustries.co/newsroom/funding-52m-london,https://www.terraindustries.co/newsroom/commercial-division,Verified,Company states it was founded in 2024. August 2026 announcement states the seed round closed at $52M after an additional $18M.
Leta,Kenya,Nairobi,2021,Predictive Analytics,Logistics,"AI-powered logistics software, route optimization, automated dispatch and delivery analytics",African businesses operating distribution and delivery fleets,SaaS,Seed,8000000.0,,Seed,Speedinvest,https://leta.ai/,,https://disruptafrica.com/2025/03/21/kenyan-logistics-startup-leta-raises-5m-seed-funding-round/,https://leta.ai/,Verified,Official company site confirms AI-powered logistics platform and Nairobi presence. Latest reported funding was a $5M seed round led by Speedinvest.
Amini,Kenya,Nairobi,2022,Predictive Analytics,Climate Tech,AI and satellite-powered environmental data aggregation and analytics,"Farmers, governments, corporations, financial institutions and supply-chain operators",B2B SaaS,Seed,4000000.0,,Seed,Salesforce Ventures; Female Founders Fund,https://www.amini.ai/,,https://techcrunch.com/2023/11/30/salesforce-ventures-and-female-founders-fund-back-kenyan-climate-tech-amini-in-4m-seed-round/,https://www.amini.ai/blog-post/welcome-amini,Verified,Official company source confirms Nairobi founding in 2022 and AI/ML environmental-data platform. $4M seed round reported in November 2023.
Aya Data,Ghana,Accra,,Machine Learning,Enterprise Software,"AI data acquisition, annotation, model fine-tuning and AI consulting",AI companies and organizations requiring training data and AI services,B2B,Seed,1150000.0,,Seed,54 Collective,https://www.ayadata.ai/,,https://dabafinance.com/en/news/ghanaian-startup-aya-data-raises-900k-to-expand-ai-solutions,https://www.ayadata.ai/,Partially Verified,Official site confirms AI data services and Accra delivery centre. Funding reports state $900K seed round and $1.15M total funding; founding year requires further verification.
Qme,Egypt,Cairo,2022,AI Automation,Enterprise Software,"AI-based digital booking, queuing, analytics and payments platform","Healthcare providers, banks, government institutions and service organizations",B2B SaaS,Seed,3000000.0,,Seed,AHOY,https://qme.solutions/,https://www.linkedin.com/company/qme-solutions/,https://www.africaprivateequitynews.com/p/egypts-qme-closes-3m-seed-round-led-by-ahoy,https://www.linkedin.com/company/qme-solutions/,Verified,"Company LinkedIn identifies Cairo headquarters, 2022 founding and AI-based customer journey platform. Funding source reports $3M seed round led by AHOY."
DataProphet,South Africa,Cape Town,2014,Predictive Analytics,Manufacturing,"Industrial intelligence, machine learning and AI solutions for manufacturing",Manufacturers and industrial machine builders,B2B SaaS,Series A,10000000.0,,Series A,Knife Capital,https://dataprophet.com/,,https://techcabal.com/2022/08/11/dataprophet-completes-10-million-series-a/,https://dataprophet.com/company,Verified,Official company source identifies Cape Town operations and roots dating to 2014. $10M Series A was completed in 2022.
Lelapa AI,South Africa,Johannesburg,,NLP,Enterprise Software,Language AI and African-language speech and translation technologies,"African businesses, financial institutions, nonprofits and organizations",B2B,Pre-Seed,2500000.0,,Pre-Seed,Mozilla Ventures; Atlantica Ventures,https://lelapa.ai/,,https://www.wired.com/story/one-startups-plan-to-help-africa-lure-back-its-ai-talent/,https://lelapa.ai/,Partially Verified,Public reporting confirms $2.5M funding and African-language AI focus. Founding year and latest funding date require further verification.
AI Diagnostics,South Africa,Cape Town,2020,Machine Learning,Healthcare,AI-powered digital stethoscope and tuberculosis screening technology,"Public health systems, occupational health, clinics and healthcare providers",B2B,Pre-Seed,5200000.0,,Pre-Series A,The Steele Foundation for Hope,https://www.aidiagnostics.health/,https://za.linkedin.com/company/aidiagnostics-za,https://disruptafrica.com/2026/04/17/sa-med-tech-company-ai-diagnostics-raises-5-2m-to-accelerate-ai-powered-tb-screening/,https://www.aidiagnostics.health/,Verified,Official company site confirms AI-powered TB screening technology. LinkedIn identifies Cape Town headquarters and 2020 founding. April 2026 funding reported at approximately $5.2M.
WideBot,Egypt,Cairo,2017,Generative AI,Enterprise Software,"Arabic-first conversational AI, large language models and AI solutions for enterprises and governments",Governments and enterprises across the Arab world,B2B,Other,3000000.0,,Pre-Series A,Keheilan Asset Management; Enza Capital,https://widebot.ai/,,https://widebot.ai/blog/widebot-preseriesa-rou,https://egyptinnovate.com/en/success-stories/widebots-success-story-from-incubation-at-the-technology-innovation-and-entrepreneurship-center,Verified,Founded in Egypt in 2017. The company later expanded into Saudi Arabia. The latest publicly announced round was $3M Pre-Series A in February 2025. The funding amount is recorded as the disclosed round amount rather than an assumed cumulative total.
DXwand,Egypt,Cairo,2018,NLP,Enterprise Software,"Conversational AI, knowledge discovery and AI-powered digital assistants for customer and employee interactions",Enterprises and organizations across MENA,B2B SaaS,Series A,6300000.0,,Series A,Shorooq Partners; Algebra Ventures,https://dxwand.com/,,https://techcrunch.com/2024/01/25/dxwand-raises-4m-to-scale-its-conversational-ai-platform-for-enterprises-in-mena/,https://dxwand.com/who-we-are/,Verified,Company states that its journey began in 2018 and reports $6.3M total funding. The latest major disclosed round was a $4M Series A led by Shorooq Partners and Algebra Ventures.
Aerobotics,South Africa,Cape Town,2014,Computer Vision,Agriculture,"AI-powered aerial imagery, crop health monitoring, fruit measurement and yield forecasting","Commercial growers, packers, marketers and agricultural insurers",B2B SaaS,Series B,27000000.0,,Series B,Naspers Foundry,https://aerobotics.com/,,https://www.uj.ac.za/wp-content/uploads/2022/02/uj-emtech-digital.pdf,https://aerobotics.com/about-us,Verified,"Founded in Cape Town in 2014. Public sources report approximately $27M total funding, including a $17M Series B. The company uses AI, machine learning, aerial imagery and drone technology for precision agriculture."
Botlhale AI,South Africa,Cape Town,2019,NLP,Enterprise Software,"Multilingual conversational AI, chatbot development, call-centre analytics and African-language technologies",Businesses and organizations serving multilingual African customers,B2B SaaS,Other,,2022-10-01,Seed,,https://botlhale.ai/,https://za.linkedin.com/company/botlhale-ai,https://app.dealroom.co/companies/botlhale_ai,https://botlhale.ai/,Partially Verified,"Company was founded in 2019 and is headquartered in Cape Town. Public databases identify a 2022 seed round, but a reliable publicly disclosed funding amount and lead investor were not established."
Yemaachi Biotech,Ghana,Accra,2020,Machine Learning,Healthcare,"Cancer genomics, precision-oncology research, clinical data and diagnostic technologies","Healthcare, pharmaceutical and research organizations",B2B,Seed,3000000.0,,Seed,V8 Capital,https://www.yemaachi.com/,,https://www.yemaachi.com/2022/03/21/yemaachi-africas-cancer-research-company-raises-seed-round-to-diversify-genomic-datasets-advance-precision-oncology-globally/,https://www.yemaachi.com/company/,Verified,"Founded in Accra in 2020. The company combines genomics, bioinformatics and AI-related technologies for precision oncology. Its official announcement confirms a $3M seed round led by V8 Capital."
Si-Ware Systems,Egypt,Cairo,2004,Predictive Analytics,Manufacturing,"Sensing technologies, MEMS, optical sensing, embedded systems and AI-enabled sensing software","Industrial, manufacturing, agriculture, automotive and technology customers",B2B,Other,19000000.0,,Venture Round,Sawari Ventures; Egypt Ventures,https://www.si-ware.com/,,https://www.wamda.com/en/2021/02/si-ware-systems-raises-9-million,https://www.si-ware.com/company/about-us,Verified,Founded in Cairo in 2004. The company describes an AI-enabled software layer within its sensing technology stack. Wamda reported a $9M 2021 funding round and stated that total funding since inception had reached $19M.
Chpter,Kenya,Nairobi,2022,AI Automation,E-commerce,"AI-powered conversational commerce, automated customer engagement, marketing and social-commerce payments",African merchants and small businesses selling through social platforms,B2B SaaS,Pre-Seed,1200000.0,,Pre-Seed,PANI,https://chpter.co/,,https://www.renewcapital.com/newsroom/press-release-chpter-secures-investment-to-drive-sales-for-african-businesses-on-social-media,https://www.renewcapital.com/newsroom/press-release-chpter-secures-investment-to-drive-sales-for-african-businesses-on-social-media,Verified,Founded in Kenya in 2022. The company provides AI-powered conversational commerce tools for social platforms. A $1.2M pre-seed round was announced in September 2024 and led by PANI.
Nanovate,Egypt,Cairo,2025,Generative AI,Enterprise Software,"Arabic-native AI agents, voice and chat automation and customized AI applications",Businesses across Arabic-speaking markets,B2B SaaS,Pre-Seed,,2025-10-01,Pre-Seed,,https://www.nanovate.io/,,https://itida.gov.eg/English/Documents/MEDIA_newsletter%20itida_Newsletter_2025_Q4.pdf,https://egyptinnovate.com/en/success-stories/nanovate-powering-the-future-of-arabic-ai-from-cairo-to-the-gulf,Partially Verified,"Founded in Cairo in early 2025. Public reports disagree on the disclosed pre-seed amount, with different sources reporting $1M and $2M. The funding amount is therefore left blank pending stronger reconciliation."
Rivy,Nigeria,Lagos,2019,Predictive Analytics,Energy,AI-powered financing and lending platform for renewable energy businesses and customers,Renewable energy businesses and customers across Africa,B2B,Other,4000000.0,,Pre-Series A,EchoVC; All On,https://www.rivy.co/,,https://www.all-on.com/media/media-releases/payhippo-rebrands-to-rivy-raises-us-dollar-four-millions-in-pre-series-a-funding.html,https://www.all-on.com/media/media-releases/payhippo-rebrands-to-rivy-raises-us-dollar-four-millions-in-pre-series-a-funding.html,Verified,Founded in Nigeria in 2019 as Payhippo and later rebranded to Rivy. The company describes itself as an AI-powered lender focused on renewable-energy financing. The March 2025 round comprised $2M equity and $2M debt.
